;number;locus;parent;animal;male
0;19;CSRM60_mutter;1238;3968;female
1;19;ETH225_mutter;1238;3968;female
2;19;ETH3_mutter;1238;3968;female
3;19;TGLA122_mutter;1238;3968;female
4;19;TGLA227_mutter;1238;3968;female
5;19;TGLA53_mutter;1238;3968;female
6;26;CSSM66_mutter;1150;4206;female
7;26;ILSTS6_mutter;1150;4206;female
8;26;SPS115_mutter;1150;4206;female
9;26;TGLA53_mutter;1150;4206;female
10;41;TGLA122_mutter;16027;4149;female
11;62;BM1818_mutter;844;4058;female
12;62;BM2113_mutter;844;4058;female
13;62;ETH10_mutter;844;4058;female
14;62;ETH3_mutter;844;4058;female
15;62;TGLA227_mutter;844;4058;female
16;108;BM1818_mutter;6346;9986;female
17;108;ETH10_mutter;6346;9986;female
18;108;ETH225_mutter;6346;9986;female
19;108;ETH3_mutter;6346;9986;female
20;108;TGLA53_mutter;6346;9986;female
21;133;BM1824_mutter;1442;2890;female
22;133;CSSM66_mutter;1442;2890;female
23;133;ETH10_mutter;1442;2890;female
24;133;ILSTS6_mutter;1442;2890;female
25;133;TGLA227_mutter;1442;2890;female
26;165;ETH10_mutter;1795;12240;female
27;165;TGLA126_mutter;1795;12240;female
28;165;TGLA53_mutter;1795;12240;female
